Chinese Name,English Name,Description,Location,Date,URL
白鶺鴒,Motacilla alba,獨特但羽色有變化：所有羽色都是某種黑，白和灰的顯眼組合。在全世界範圍內有相當大的羽色變化，但從來沒有像白眉鶺鴒或日本鶺鴒一樣有一條清晰，細而對比鮮明的眉毛。見於各種開闊棲息地，範圍從野草地區和濕地到鋪好的停車場和草坪。通常見到單身，成對或小群行走和奔跑，上下擺動著白邊的長尾巴。可通過其響亮，粗而獨特的“tsee-tsee”叫聲輕鬆在飛行中鑑別。由MERLIN技術支援,Hong Kong,11日 6月 2025年,https://ebird.org/species/whiwag/HK
褐翅鴉鵑,Centropus sinensis,外表看似介於烏鴉跟雉雞之間的大型鳥類。身體主要為黑色，翅膀為明顯的鏽紅色，背面有光澤，尾巴長、很大一把，眼睛暗紅色。幼鳥羽色黯淡，尾羽及腹面有白色橫紋，翅膀跟背面有數量不等的黑色紋路。普遍出現於多種棲地環境，但不包括非常濃密的森林。似番鵑，但褐翅鴉鵑體型較大，嘴較長，眼紅色。褐翅鴉鵑成鳥翅膀上也沒有番鵑那樣的白色細紋。叫聲為連串低沈響亮的「oop-oop-oop」。由MERLIN技術支援,"Lamma Island, Hong Kong",11日 6月 2025年,https://ebird.org/species/grecou1/HK
白腹秧雞,Amaurornis phoenicurus,在草地、溝渠、河濱、沼澤，以及公園和農地等鄰近人類區域處常見的中型似雞的沼澤性鳥類；常看到在開闊處覓食。成鳥背部深石板灰而腹部白色，尾下有紅褐色塊。幼鳥外型很相似但顏色較暗淡。明顯多變的鳴唱聲是一連串呼呼聲、咕噥聲或刺耳的叫聲，單調地重複，常由顯眼的棲枝上發出。由MERLIN技術支援,"Lamma Island, Hong Kong",11日 6月 2025年,https://ebird.org/species/whbwat1/HK
大卷尾,Dicrurus macrocercus,常見於其大部分棲地範圍，停在電線，柵欄或枯枝上令人熟悉的黑色輪廓。整個黑色，但好的光線下閃爍藍綠金屬光澤，雖然沒有髮冠卷尾或小卷尾的金屬色突出。像許多其他卷尾科鳥類一樣，是一隻好鬥的鳥，常以反复俯衝和刺耳的喋喋不休的叫聲來追逐闖入者。屬於開闊區域，如農田，森林邊緣，草地，濕地和田地的適應性強的物種。由MERLIN技術支援,"Lamma Island, Hong Kong",11日 6月 2025年,https://ebird.org/species/bladro1/HK
紅嘴藍鵲,Urocissa erythroryncha,"Raucous, vividly-colored magpie of lowland and foothill forests, gardens, and parks. Bright blue with black head, white belly, and long tail which trails loosely behind it in flight. Bright scarlet bill and extensive white crown serve to distinguish this species from the otherwise similar Yellow-billed Blue-Magpie. Travels in groups, communicating with constant, raucous, hoarse calls. Aggressive, often driving away other birds.由MERLIN技術支援","Lamma Island, Hong Kong",11日 6月 2025年,https://ebird.org/species/rbbmag/HK
喜鵲,Pica serica,這種華麗長尾的鴉科鳥類常見而引人注目，易辨識，而它嘹亮的“嘎嘎”聲在許多地方都是讓人熟悉的聲音。見於開闊地帶和半開闊地帶，從農田，開闊林地到城鎮和花園，單獨或常常成對或成群出現。其由粗樹枝搭建的巢常在高大的樹木或樹籬中很明顯。顯眼的羽色圖案很特別，有白色腹部，白色背部和飛羽上有白斑。翅膀在良好的光線下呈藍綠色光澤。注意近期的分類變化。由MERLIN技術支援,"Lamma Island, Hong Kong",11日 6月 2025年,https://ebird.org/species/orimag1/HK
白喉紅臀鵯,Pycnonotus aurigaster,"A dark-headed brown bulbul with a bright red vent; common in towns, plantations, and forest edges. Red-vented Bulbul, with which it overlaps in southwestern China, can be similar, but it has a completely black head. Juvenile has orange vent and can be confused with Brown-breasted Bulbul, but the latter has a more strongly peaked head, no white tail trimming, brown auriculars, and a more contrasting white throat. Often seen in pairs and small flocks, foraging at mid-level and on the ground. Song consists of high-pitched warbling calls.由MERLIN技術支援","Lamma Island, Hong Kong",11日 6月 2025年,https://ebird.org/species/sohbul1/HK
高蹺鴴,Himantopus himantopus,在較溫暖地區，相當常見到局部常見。喜歡開闊淺水濕地，通常是鹹水；在靠近水的裸地上繁殖，且常嘈雜地集體築巢。引人注目且基本不會辯錯，優雅的體型，顯眼的雜色羽毛，長長的艷粉色腿，以及長而非常細的嘴。涉水覓食，在水面用其嘴啄食。在飛行中，長長的粉紅色腿遠遠超出尾巴。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/bkwsti/HK
小環頸鴴,Thinornis dubius,長相精緻的小型鴴，有著亮黃眼圈。注意暗粉（TW 野鳥圖鑑：黃色）的腿和額頭大片白色（成鳥）。羽色很像較壯的環頸鴴，但白眉線橫貫前額不間斷。在飛行中可見狹窄，不明顯的白色翼帶。在湖泊，礫石坑和河流周圍的石質基質上繁殖；遷移時可見於各種淡水和半鹹濕地的棲息地，但很少出現在開闊的潮汐地帶。清楚的“peu”叫聲與外觀類似的環頸鴴的叫聲截然不同。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/lirplo/HK
彩鷸,Rostratula benghalensis,中等大小，艷麗羽色，棲於草地和草本沼澤的濱鳥。兩性都有一亮白色“逗號”在眼周，體下白色，並呈弧形延伸至肩膀上方。與瓣足鷸屬的其他種類一樣，雄鳥比雌鳥羽色黯淡。雌鳥有一亮紅褐色頭部和帶綠色光澤的背部和翅膀；羽色較斑斕的雄鳥有淺褐色頭部，帶橙色和棕褐色斑點的褐色背部，因此更像田鷸屬的鳥類。求偶雌鳥會發出一串類似貓頭鷹的叫聲。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/grpsni1/HK
綠簑鷺,Butorides striata,分布很廣的小型鷺，在全球大部分地區都很常見。以體型小和整體灰色與大多數其他大型鷺和小型鷺區分開來。注意對比鮮明的黑色頂，翼覆羽上明顯的蒼白邊緣，脖子前面的白色和紅褐色條紋。亞成鳥比成鳥條紋更往腹部延伸。與北美的小綠鷺類似，但注意差別是脖子以灰色為主，有少量紅褐色。通常是單獨活動，見於靜靜地站在濕地型棲息地周圍，如草本沼澤，農田，河流和湖泊。由MERLIN技術支援,"Hong Kong Wetland Park, Hong Kong",11日 6月 2025年,https://ebird.org/species/strher/HK
